eid,source,target,dir,capacity,speed_mph,cost_time,btw
10308,23641,7670,1,1900,30,0.316330938061,13085.0
83601,23642,23706,1,1900,30,0.552833032369,83294.0
38894,23642,22467,1,950,20,0.729863802648,6.0
83953,23642,22350,1,950,20,0.32584830823800004,3543.0
38352,23642,22359,1,1900,30,0.138845248983,430862.5
10321,23643,4872,1,1900,30,0.030891764261599997,86967.5
43689,23643,20420,1,1900,20,0.11429551283,0.0
21912,23644,315,1,6900,60,0.0026323705836100004,2220041.0
22457,23645,6613,1,1900,30,0.803985915661,571587.0
12062,23645,10214,1,1900,30,1.96840137662,459917.0
72255,23645,17127,1,1900,30,0.358181601976,921800.5
27906,23646,13482,1,6900,60,0.28251548332299997,17989556.0
27391,23646,16468,1,8100,40,0.486988781913,737424.0
55787,23647,11195,1,1900,30,2.6411543857599997,503593.0
7617,23647,17438,1,1900,30,0.0811282896226,933469.0
95031,23647,15902,1,1900,30,0.0820166105431,47835.5
77549,23648,21801,1,1900,30,0.41147038314499995,614399.0
84347,23648,21789,1,950,20,0.82644745964,14459.0
29879,23648,22350,1,1900,30,0.221093672147,277717.0
12711,23649,17587,1,5400,40,0.24957667273000003,1981646.5
24662,23649,23126,1,950,20,0.651429868876,3.0
94221,23650,22212,1,5400,40,0.891237758839,6095095.0
18637,23650,16574,1,5400,40,0.241653494125,6662911.0
70851,23651,2579,1,950,20,0.0831653747432,109836.0
20397,23651,19701,1,950,20,0.154488503611,201099.0
70785,23651,24709,1,950,20,0.0213213441184,350390.0
8746,23652,4249,1,950,20,0.204737871831,54541.0
62377,23652,1431,1,950,20,0.438477399679,78537.5
52138,23653,6064,1,5400,40,0.104293888719,2865913.5
52471,23653,12040,1,950,20,0.040337071986800005,110728.0
3078,23654,19916,1,1900,30,0.144786647109,730406.0
8467,23654,25237,1,1900,30,0.0938989489653,716606.0
58201,23654,16895,1,1900,30,0.132640579239,245337.0
1870,23655,4776,1,950,20,0.531211515976,76733.0
13925,23655,4203,1,950,20,0.280213966763,11012.5
55611,23656,14136,1,1900,30,0.12476764135299999,159202.0
94701,23656,21603,1,1900,30,0.364657827383,161521.5
10232,23657,13724,1,1900,30,0.476094201588,199358.0
27395,23657,15452,1,950,20,0.548014353626,110.0
63447,23657,18374,1,1900,30,0.291747545836,30762.0
66203,23658,12994,1,950,20,0.5846131215479999,26109.5
67859,23659,4369,1,1900,30,0.0967182616682,394374.0
51906,23659,23517,1,1900,30,0.147843108363,72773.0
28532,23660,11418,1,1900,30,0.653094231376,79368.5
49641,23660,12043,1,1900,30,0.0608992877285,96123.0
31861,23661,8040,1,1900,30,6.534528240499999,38042.0
40494,23661,425,1,1900,30,0.129482635717,69363.5
91839,23662,8656,1,5400,40,0.152437870066,2781941.0
18234,23662,24521,1,950,20,2.22888238804,96.0
50547,23662,22468,1,5400,40,0.07733282892789999,5834953.0
66713,23663,26255,1,1900,30,0.09153390661790001,52423.0
