eid,source,target,dir,capacity,speed_mph,cost_time,btw
21261,16082,7326,1,5400,40,0.0385844091503,18119.0
43647,16082,16366,1,5400,40,0.0160805799903,102.0
27897,16082,7439,1,5400,40,0.0324433038681,571615.0
15108,16083,2698,1,1900,30,0.0439370619551,220746.0
35011,16083,13844,1,950,20,1.0442784340200002,24.0
22276,16083,10839,1,1900,30,0.12243779436100001,201796.0
32370,16084,14572,1,5400,40,0.010037799130600001,1432010.0
6008,16085,6633,1,6900,60,0.245840553219,20633660.0
29002,16086,10715,1,8100,40,0.223543958783,4759810.0
31092,16086,638,1,8100,40,0.5321573590559999,5629916.0
32372,16087,16077,1,5400,40,0.0198189452692,1421672.0
16722,16088,6082,1,5400,40,0.0427969364069,715218.0
41183,16088,6083,1,5400,40,0.403206881019,794040.0
19099,16088,16091,1,1900,30,0.10504861072699999,7121.0
10070,16089,16701,1,950,20,0.016789808765,442115.0
3780,16090,3055,1,5400,40,0.412715477311,497431.0
34249,16091,12032,1,5400,40,0.397491889647,3060166.0
2978,16091,6107,1,5400,40,0.0870427897624,2476434.0
42559,16092,2012,1,950,20,1.29461551741,203428.0
19162,16092,3429,1,950,20,0.143708437218,106555.0
29852,16093,16090,1,1900,20,0.039108397169,17889.0
32086,16094,16099,1,950,20,0.295868089961,3332020.0
19513,16095,3233,1,950,20,0.183229708134,193448.0
42759,16095,18318,1,950,20,0.22001036256099998,16.0
46401,16097,12793,1,950,20,0.05308245606359999,25400.0
26852,16097,12980,1,950,20,0.530138608648,83380.0
32063,16097,2769,1,950,20,0.07171665946650001,36227.0
36911,16098,13731,1,950,20,0.0452990052573,66133.0
8479,16098,16117,1,950,20,0.0552365336564,63.0
8635,16099,3759,1,5400,40,0.33035939659200003,3331746.0
13599,16100,7795,1,6900,60,1.20674184536,13147503.0
12695,16101,11671,1,950,20,0.028504949914000002,445540.0
30589,16102,15038,1,950,20,1.6021615242200002,324952.0
31928,16102,16103,1,950,20,0.0360910346001,86054.0
12697,16103,11276,1,950,20,0.0710817377996,196860.0
20786,16104,14200,1,5400,40,0.0165698477375,726912.0
33947,16104,7086,1,5400,40,2.49632946556,228966.0
37079,16105,18176,1,950,20,0.8312048594220001,53755.0
31942,16105,11533,1,950,20,0.0543478303294,221729.0
6094,16106,15987,1,950,20,0.0723329311318,218761.0
45759,16107,8752,1,950,20,0.045686075722500004,44767.0
25483,16107,8756,1,950,20,0.0161064810662,17882.0
20785,16108,16104,1,5400,40,0.029869369511500002,278041.0
20799,16108,7490,1,950,20,0.6500887050199999,41916.0
19979,16109,16112,1,8100,40,0.135394943255,1821420.0
29048,16109,16434,1,5400,40,0.0472490595648,1379872.0
19793,16110,17061,1,5400,40,0.16903604565699998,188106.0
6451,16110,15142,1,5400,40,0.0136166799132,1482960.0
36005,16110,16111,1,5400,40,0.0352280401904,47133.0
27239,16111,12817,1,5400,40,0.171022368117,206526.0
36007,16111,15146,1,5400,40,0.00792216803182,1399925.0
6453,16111,16110,1,5400,40,0.0352280401904,102194.0
25725,16112,9571,1,6900,60,0.0578540330571,1144018.0
19980,16112,7037,1,8100,40,0.116590878798,677128.0
45685,16113,14321,1,950,20,0.0185909053791,17525.0
28855,16113,16114,1,950,20,0.0395536370325,263.0
29358,16113,12745,1,950,20,0.919490471893,367787.0
47357,16114,16113,1,950,20,0.0395536370325,1492.0
28853,16114,12739,1,950,20,0.10945976115999999,164394.0
45687,16114,14318,1,950,20,0.0181823556436,194311.0
16952,16115,7632,1,1900,30,0.598201904127,18145.0
42565,16115,15206,1,1900,30,2.44306435104,7361.0
19270,16116,10518,1,950,20,0.036058249571800004,491870.0
8477,16117,6057,1,950,20,0.048173502179300005,22.0
36909,16117,16098,1,950,20,0.0552365336564,18816.0
18841,16117,4636,1,950,20,0.140762420074,44915.0
36917,16119,6057,1,950,20,0.037630062667900005,76326.0
8440,16119,14060,1,950,20,0.08063448474889999,34073.0
8485,16119,14550,1,950,20,0.0211335119446,166954.0
17223,16120,1642,1,8100,40,0.112108018896,18434152.0
21642,16121,4373,1,8100,40,0.161800372435,3515898.0
48303,16122,5093,1,1900,30,0.24910111639000002,64591.0
30976,16122,7815,1,1900,30,0.11953632160599999,80689.0
7195,16123,6748,1,5400,40,0.131753104375,4937717.0
44931,16124,3700,1,5400,40,0.0152495125951,53484.0
23922,16124,5389,1,5400,40,0.0114430123853,18163.0
45541,16125,9560,1,950,20,0.411973465243,0.0
4395,16125,3586,1,950,20,0.0571703579255,90099.0
25056,16125,8695,1,950,20,0.0137269097206,77684.0
42359,16126,15913,1,950,20,5.68426308362,100108.0
40559,16126,12084,1,5400,40,0.7990411619519999,444513.0
15656,16126,12341,1,5400,40,2.69372359236,754356.0
7039,16127,12967,1,1900,30,0.22383367455699998,238444.0
46443,16128,4027,1,1900,30,0.024266968645200004,17648.0
26943,16128,9477,1,1900,30,0.025974220227099998,19169.0
9860,16128,5406,1,1900,30,0.0534716223315,366784.0
16210,16129,16203,1,950,20,0.0313643977855,33840.0
31696,16129,9611,1,950,20,0.180189870772,11982.0
20878,16130,16136,1,950,20,0.129227352095,262035.0
10044,16130,15803,1,950,20,2.98996072018,18162.0
43123,16131,5035,1,950,20,4.25859423536,20458.0
20212,16131,5311,1,950,20,3.73066626524,38667.0
26038,16132,16162,1,950,20,0.661822319295,12860.0
46005,16132,86,1,950,20,0.577855219581,5023.0
48537,16132,16134,1,950,20,0.792391778228,108942.0
20805,16133,6249,1,950,20,1.29427528574,4151.0
20807,16133,4626,1,950,20,0.0185955849362,164262.0
20082,16134,16140,1,950,20,0.07002427146380001,18162.0
48539,16134,5618,1,950,20,0.0570288703574,108419.0
31330,16134,16132,1,950,20,0.792391778228,7.0
8603,16135,16200,1,950,20,0.0361781385944,35773.0
31938,16135,17636,1,950,20,0.0433995400299,533440.0
1565,16136,16139,1,950,20,0.229448801349,261700.0
20879,16136,16141,1,950,20,0.0557545856941,61.0
20078,16137,12807,1,950,20,0.0456919534506,17889.0
40599,16139,11185,1,950,20,0.905238507685,279560.0
4608,16139,16141,1,950,20,0.24357570407200002,254086.0
43055,16140,16134,1,950,20,0.07002427146380001,17908.0
4601,16141,6817,1,950,20,0.19308185497699998,163391.0
20880,16141,11547,1,950,20,0.0878230500674,90482.0
23178,16142,1872,1,5400,40,0.0323903709006,2554283.0
294,16142,17617,1,1900,20,0.0870071099535,190334.0
32905,16142,16573,1,1900,20,0.0271160078532,3846.0
27926,16143,689,1,5400,40,1.73278085583,60306.0
32085,16143,11581,1,950,20,0.12199717485200001,26481.0
43417,16144,16153,1,950,20,0.802818876981,18158.0
29757,16144,6995,1,950,20,3.35140903012,116.0
28482,16144,4613,1,950,20,0.21179460075399997,35512.0
31683,16145,4643,1,950,20,0.169449399812,449433.0
