eid,source,target,dir,capacity,speed_mph,cost_time,btw
7050,6335,7911,1,5400,40,0.249801328386,1989991.0
13111,6337,3876,1,950,20,0.303625427035,10325.0
24864,6338,5024,1,1900,30,0.46752648521000006,407784.0
1931,6338,137,1,1900,30,0.0374664167452,499865.0
9530,6339,6324,1,5400,40,0.010621731720200001,1799195.0
13518,6340,6909,1,5400,40,0.0647736143801,916947.0
6880,6341,6344,1,1900,30,0.061249449576500005,1369753.0
15453,6341,2897,1,5400,40,6.84516601515,1424761.0
6873,6342,4457,1,5400,40,0.021134558212900004,68790.0
22818,6342,5756,1,5400,40,4.8639148063999995,177326.0
6864,6343,6344,1,5400,40,0.00402760745715,236326.0
6865,6344,6345,1,5400,40,0.008034715104850002,1605907.0
6866,6345,4457,1,5400,40,0.011560227775399999,1419595.0
6874,6345,6342,1,5400,40,0.0200523598323,186140.0
13766,6346,7914,1,950,20,2.20988975638,219800.0
26220,6346,6365,1,950,20,1.88656809752,247104.0
7684,6347,10677,1,950,20,5.26171110454,29199.0
24598,6347,6357,1,950,20,2.73358128683,40063.0
6868,6348,6928,1,5400,40,0.012642772933,53288.0
6875,6348,6364,1,1900,30,0.050238820256500005,1434753.0
26658,6349,5865,1,5400,40,0.0578209450804,3650212.0
9583,6349,875,1,5400,40,0.166432896833,3549701.0
26112,6350,6288,1,1900,30,0.0533502579184,15037.0
26106,6350,9817,1,1900,30,2.22574253368,79493.0
13604,6350,6387,1,1900,30,0.0682832578207,0.0
13623,6351,6353,1,950,20,0.0281467747552,78373.0
3986,6352,1400,1,950,20,0.08247181364060001,36585.0
12594,6352,4495,1,950,20,0.0512911517545,56268.0
847,6353,6352,1,950,20,0.0347333113088,47073.0
12596,6353,4495,1,950,20,0.031735999793,31128.0
6870,6354,4486,1,5400,40,0.013322191565900001,1649745.0
6876,6354,5463,1,5400,40,0.0289122660262,20992.0
21348,6355,8274,1,950,20,0.064912951454,56428.0
4406,6355,8582,1,950,20,0.191364872584,995337.0
25834,6356,3673,1,950,20,0.650198111816,10325.0
10562,6357,6347,1,950,20,2.73358128683,39672.0
19432,6357,5534,1,5400,40,0.592857981133,101750.0
551,6357,4639,1,5400,40,2.04402432947,123812.0
4082,6358,8824,1,5400,40,0.021242838304,1353557.0
16099,6359,7112,1,5400,40,0.150052500644,548334.0
9099,6359,1227,1,5400,40,0.996378238432,476687.0
17926,6360,3675,1,950,20,0.053610431966900005,41465.0
3864,6360,9875,1,950,20,0.506606704054,10497.0
25564,6361,5281,1,5400,40,0.0452970105832,2644.0
25566,6361,6362,1,5400,40,0.026847237798900005,550037.0
24100,6361,430,1,5400,40,0.300314481851,509018.0
12600,6362,6361,1,5400,40,0.026847237798900005,515411.0
25568,6362,4697,1,5400,40,0.020929502038,559602.0
12603,6362,6351,1,950,20,0.272780000636,78545.0
1123,6363,8368,1,8100,40,0.0726189337037,197599.0
16225,6363,5104,1,8100,40,0.20042852031599998,14131.0
6881,6364,6928,1,1900,30,0.050749353948300005,1617793.0
25830,6364,2751,1,5400,40,0.7691281697490001,1441778.0
17227,6365,5040,1,1900,30,0.7253609578419999,391118.0
13768,6365,6346,1,950,20,1.88656809752,230247.0
27230,6365,4771,1,1900,30,0.738858852232,136100.0
2138,6366,4075,1,1900,30,0.0797058977877,1436376.0
23432,6366,1467,1,5400,40,0.298113634081,1658674.0
20200,6366,6271,1,1900,30,0.0846246939996,7858.0
14061,6367,9031,1,5400,40,0.188711342909,116036.0
4454,6368,6996,1,6900,60,0.787759838126,581135.0
1929,6369,5019,1,1900,30,0.0291255447877,475805.0
16227,6369,10379,1,1900,30,1.1527312572,499433.0
11388,6370,3673,1,5400,40,0.111605454873,732712.0
25028,6370,442,1,5400,40,0.10331083034800001,714906.0
25836,6370,3876,1,950,20,0.116809575043,31482.0
13595,6371,6331,1,950,20,0.0411509639548,10822.0
26096,6371,6383,1,950,20,0.0307964937875,533096.0
