eid,source,target,EdgeBetweennessCentrality
99332,192,16971,847.
40706,192,191,594455.
66773,193,16288,2.1581817e7
46818,194,28812,1.494762e6
87020,195,23430,2.114857e6
59298,195,174,1.659704e6
36419,196,13844,382877.
42854,196,1438,170973.
37442,197,28620,76128.
42722,197,1287,633326.
45056,198,34799,1.2888776e7
53872,199,20164,1.03656e6
27264,199,6711,288674.
11842,200,4667,1.34062674e8
55748,200,231,1.746496e6
93496,201,33755,987346.
34052,201,16583,955143.
51843,202,38087,1.056489e6
56837,202,37319,171854.
90200,203,15170,342114.
37821,203,22276,28.
40397,203,22277,198617.
3517,204,36286,323570.
9657,205,204,97930.
63459,205,10486,54332.
46719,206,29137,2.6476725e7
94492,206,21959,2.6550863e7
44163,207,35004,2.0036407e7
44166,208,5392,726445.
23537,209,31521,458991.
83028,209,10031,420687.
3518,210,211,738254.
3519,211,28942,353371.
9655,211,230,383591.
45845,212,18800,2.598087e6
37334,212,37103,2.583611e6
14390,213,3116,2.169056e7
46865,214,19548,6.518372e6
52034,215,3417,459745.
25432,215,11759,1.028429e6
67046,216,37900,16.
87370,216,11757,188841.
91110,217,12993,77616.
92908,217,19826,38809.
39547,217,35044,149608.
43503,217,31012,448.
36321,218,36916,0.
93594,218,37565,37517.
3738,219,9907,350133.
88048,219,9909,326512.
4104,220,24842,1.054845e6
61741,220,28779,1.472021e6
22602,221,8459,40146.
78526,221,1443,5374.
82582,221,27726,97480.
14236,222,21479,6.680362e7
19401,223,33531,75032.
80840,223,33860,38809.
13035,224,30379,246305.
3425,224,24549,455851.
10681,225,37386,552485.
23780,225,6354,554656.
31945,226,22931,1.8713868e7
68138,227,226,1.8702118e7
51858,227,15301,1.030106e6
14757,228,1443,37517.
22881,229,34378,8.106227e6
24947,229,13315,1.394218e6
9652,230,233,382299.
14711,231,4602,422535.
55749,231,14159,1.322669e6
71224,232,20483,57601.
160,232,20476,130655.
9653,233,6023,381007.
211,234,2786,839168.
50736,234,239,2.274022e6
96782,235,21340,1.753523e6
1344,235,3974,978561.
98678,236,238,76399.
55715,236,1278,42499.
69761,237,34667,271642.
105970,237,35252,0.
102312,237,12214,37510.
88810,238,33298,157567.
55624,238,236,81204.
98680,238,245,44409.
26156,239,28553,2.27273e6
88358,240,14313,38857.
43329,240,23859,74995.
69530,241,120,333990.
99700,241,37587,6.141198e6
7843,241,16284,1.261751e6
104212,242,35264,3.062234e6
44674,242,5235,2.982694e6
105146,243,928,45456.
9057,243,244,89767.
15305,244,25900,0.
75384,244,243,83696.
15307,244,15292,126761.
95606,245,2922,37861.
55626,245,238,43715.
37409,246,7510,4.0852847e7
7115,247,16249,394279.
63559,247,5146,1.225377e6
40899,248,251,200343.
34305,248,24230,2.808657e6
100472,248,31966,37531.
9511,249,34209,77193.
75644,249,34058,27.
54513,249,36942,112113.
61259,250,5875,8.404313e6
40900,251,5331,115200.
54920,251,24742,2.580379e6
95598,252,29129,68830.
16438,252,2922,33207.
55646,253,29129,534622.
98698,253,3655,478616.
43113,254,28710,815811.
99788,255,19996,386343.
58348,255,33415,28.
70188,256,34802,5.9271631e7
7495,256,599,671718.
85856,257,21931,63.
80472,257,38148,47142.
29277,257,25637,27080.
10748,258,8843,367095.
55080,258,4604,6556.
10747,259,258,305162.
1459,259,23511,3835.
57607,260,14416,191819.
60516,260,261,110710.
14436,261,270,308437.
70872,262,8020,75001.
106064,262,77,37677.
51818,263,13442,13820.
51819,263,259,195825.
48340,264,31187,8.9693927e7
41343,265,15299,1.8175832e7
35689,266,21908,19944.
96016,266,11044,1.211631e6
26720,266,10693,1.139547e6
21175,267,20305,3.762263e6
34834,267,37182,2.985015e6
89352,268,24745,61694.
7039,268,27485,600391.
36337,268,17893,6485.
23266,269,260,190325.
57945,269,271,104059.
62525,270,24227,108647.
57944,270,269,198498.
21158,271,5484,65808.
57941,271,260,113496.
14741,272,267,3.850431e6
52375,273,30131,277.
76640,273,278,37508.
97106,273,37759,98.
33818,274,30427,1.0091869e7
54594,275,18363,13353.
4021,275,277,119895.
12823,276,275,118404.
59696,276,18365,220310.
100594,276,35694,324423.
12824,277,279,118603.
52390,278,30960,299343.
11418,278,273,38800.
97118,278,37759,232266.
12822,279,18365,117311.
6170,280,843,539155.
29231,280,5503,8.6156017e7
18760,281,321,120226.
80482,281,282,38929.
84804,281,8332,221069.
80484,282,23584,160.
18762,282,281,37477.
23706,283,21320,936769.
74568,283,284,66496.
7521,283,8559,6108.
7523,284,283,45515.
74570,284,286,422.
31573,284,10199,214130.
57767,285,621,1.187518e6
7525,286,284,178.
47265,286,7157,866440.
74572,286,287,26085.
74574,287,35947,85.
7527,287,286,2864.
57337,287,17862,1.414692e6
67859,288,35308,424924.
105052,288,19492,448113.
102194,288,302,143.
68959,289,18577,67098.
73014,289,1907,2.231372e6
3870,289,9494,6.031243e6
1400,290,24633,27736.
7531,290,35947,21814.
74578,290,4325,52981.
7517,291,13461,89203.
62196,291,4325,50117.
44091,292,12663,6.9905473e7
47893,293,28992,1.494472e6
40610,293,24113,2.176424e6
23387,294,296,2.762828e6
101782,295,8288,119021.
67271,295,25293,417480.
61874,295,18606,89581.
23388,296,17371,2.019936e6
44880,296,293,1.498063e6
84586,297,1430,151272.
57326,297,23407,369073.
66076,298,6446,62273.
44888,298,35911,1.397514e6
32412,299,298,1.461079e6
67786,300,21794,5.122678e6
59171,300,16019,136228.
26993,301,3304,37517.
62575,302,288,143.
102196,302,21682,142.
63425,302,303,37496.
79638,303,21682,597473.
16885,303,33331,615566.
80478,304,321,37.
80486,304,307,37491.
15443,305,5265,38809.
65031,305,33668,1.209492e6
103232,305,7601,1.243306e6
104810,306,25059,1.040951e6
14727,306,20726,698256.
